231209,89
398419,91
424978,87
598787,91
810220,90
996586,75
680320,87
207187,88
385205,88
815589,88
866790,88
105729,89
120286,89
591781,89
595794,89
868648,89
976778,89
179740,90
234408,90
235822,90
278388,90
286793,90
302666,90
305536,90
332519,90
346771,90
388285,90
393213,90
558694,90
572566,90
617261,90
673907,90
777072,90
851758,90
857054,90
868325,90
883567,90
893958,90
930382,90
948978,90
989647,90
216030,91
237300,91
271412,91
293959,91
424006,91
434984,91
582207,91
598381,91
646390,91
667006,91
796076,91
879928,91
984142,91
985073,91
168379,92
556278,92
587771,92
984308,92
211081,93
577727,94
314015,92
130410,90
