sdc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
115520,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P
123456,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P
124572,A,A,P,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A
129138,A,A,P,P,A,A,P,A,P,P,P,A,A,A,A,P,A,P,A,P,A,A
163436,A,P,P,P,A,A,P,P,P,P,P,A,P,A,P,P,P,P,P,P,A,P
172261,P,P,P,P,P,P,P,A,A,P,P,P,P,A,A,A,A,P,A,P,P,A
208861,A,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P
231337,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A
238830,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
244468,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P
263833,A,A,P,P,P,P,P,P,P,P,P,A,A,P,P,P,A,P,P,A,A,A
276435,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P
287188,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,A,P
293996,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P
311069,A,A,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P
321460,P,P,A,A,P,P,P,A,P,A,A,P,A,A,P,A,A,A,A,A,P,A
363213,A,A,A,P,P,P,P,A,P,P,P,P,A,A,A,A,A,A,A,A,A,A
395334,A,P,P,P,A,A,P,A,P,P,P,A,P,A,A,A,P,P,A,P,A,A
426747,A,P,P,P,A,P,P,P,P,A,A,P,P,A,P,A,P,A,A,P,P,P
432809,A,P,P,P,P,P,P,P,P,P,A,P,A,A,P,A,A,A,A,A,A,A
444640,A,A,P,A,P,A,P,P,P,A,P,A,A,A,P,P,A,P,P,P,P,P
460656,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
474417,A,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,A,P,A
475761,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P
500128,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P
506541,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
511857,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
523451,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P
542677,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
549217,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
568551,P,P,P,A,A,P,P,A,P,P,P,P,P,A,P,P,P,A,A,P,P,P
573121,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
594311,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
600518,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
639085,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
666666,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
688938,A,P,P,P,P,P,A,A,P,P,P,A,P,A,A,P,P,P,A,A,A,A
713088,A,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P
715012,P,P,P,P,A,P,P,P,P,P,P,P,P,A,A,P,A,P,P,P,P,P
716984,A,A,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P
737149,P,A,P,P,A,A,P,A,P,A,A,P,A,A,A,A,A,P,A,A,A,A
770861,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,A,A,A
772237,A,P,A,A,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P
803632,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P
831797,A,A,P,P,P,A,A,P,P,P,P,A,P,P,P,P,A,P,P,P,A,P
838149,P,A,P,A,P,A,P,A,P,A,A,A,A,A,P,A,A,A,A,P,A,A
864007,A,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P
874517,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P
904168,A,P,P,P,A,P,A,P,A,P,P,P,A,P,P,A,P,A,A,P,A,A
918961,A,P,P,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P,A,A,A,A
921919,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P
934772,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
935006,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P
935813,A,A,P,P,A,P,P,P,A,P,P,A,A,A,A,A,A,A,A,A,A,A
936964,A,P,P,P,P,A,P,A,P,P,P,A,A,A,A,A,A,A,A,A,A,A
951533,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,A,P,A,P
972662,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P
984848,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P
