kujs,231209,89
kujs,105729,89
kujs,207187,88
kujs,234408,90
kujs,393213,90
kujs,424978,87
kujs,617261,90
kujs,558694,90
kujs,796076,91
kujs,587771,92
kujs,673907,90
kujs,286793,90
kujs,996586,75
kujs,680320,87
kujs,332519,90
kujs,271412,91
kujs,302666,90
kujs,293959,91
kujs,948978,90
kujs,646390,91
kujs,582207,91
kujs,278388,90
kujs,851758,90
kujs,893958,90
kujs,346771,90
kujs,388285,90
kujs,211081,93
kujs,305536,90
kujs,984308,92
kujs,598381,91
kujs,667006,91
kujs,930382,90
kujs,434984,91
kujs,984142,91
kujs,989647,90
kujs,398419,91
kujs,883567,90
kujs,815589,88
kujs,810220,90
kujs,595794,89
kujs,572566,90
kujs,577727,94
kujs,976778,89
kujs,868325,90
kujs,120286,89
kujs,424006,91
kujs,556278,92
kujs,857054,90
kujs,985073,91
kujs,237300,91
kujs,168379,92
kujs,879928,91
kujs,216030,91
kujs,866790,88
kujs,179740,90
kujs,385205,88
kujs,235822,90
kujs,598787,91
kujs,777072,90
kujs,591781,89
kujs,868648,89
