inoj,115520,82.4
inoj,123456,86.8
inoj,124572,0.0
inoj,129138,27.9
inoj,163436,47.1
inoj,172261,64.7
inoj,208861,70.6
inoj,231337,55.9
inoj,238830,88.2
inoj,244468,69.1
inoj,263833,47.1
inoj,276435,85.3
inoj,287188,75.0
inoj,293996,76.5
inoj,311069,95.6
inoj,321460,61.8
inoj,363213,29.4
inoj,395334,32.4
inoj,426747,42.6
inoj,432809,45.6
inoj,444640,47.1
inoj,460656,85.3
inoj,474417,48.5
inoj,475761,82.4
inoj,500128,66.2
inoj,506541,82.4
inoj,511857,0.0
inoj,523451,47.1
inoj,542677,72.1
inoj,549217,5.9
inoj,568551,57.4
inoj,573121,82.4
inoj,594311,4.4
inoj,600518,73.5
inoj,639085,4.4
inoj,666666,0.0
inoj,688938,39.7
inoj,713088,55.9
inoj,715012,79.4
inoj,716984,47.1
inoj,737149,17.6
inoj,770861,70.6
inoj,772237,47.1
inoj,803632,70.6
inoj,831797,61.8
inoj,838149,60.3
inoj,864007,35.3
inoj,874517,61.8
inoj,904168,45.6
inoj,918961,52.9
inoj,921919,97.1
inoj,934772,98.5
inoj,935006,77.9
inoj,935813,44.1
inoj,936964,73.5
inoj,951533,57.4
inoj,972662,88.2
inoj,984848,36.8
