vfpc,115520,90.9
vfpc,123456,90.9
vfpc,124572,9.1
vfpc,129138,40.9
vfpc,163436,72.7
vfpc,172261,63.6
vfpc,208861,81.8
vfpc,231337,86.4
vfpc,238830,90.9
vfpc,244468,86.4
vfpc,263833,63.6
vfpc,276435,95.5
vfpc,287188,86.4
vfpc,293996,95.5
vfpc,311069,77.3
vfpc,321460,40.9
vfpc,363213,36.4
vfpc,395334,50.0
vfpc,426747,63.6
vfpc,432809,50.0
vfpc,444640,59.1
vfpc,460656,90.9
vfpc,474417,72.7
vfpc,475761,90.9
vfpc,500128,90.9
vfpc,506541,100.0
vfpc,511857,4.5
vfpc,523451,86.4
vfpc,542677,95.5
vfpc,549217,9.1
vfpc,568551,72.7
vfpc,573121,95.5
vfpc,594311,0.0
vfpc,600518,95.5
vfpc,639085,4.5
vfpc,666666,0.0
vfpc,688938,54.5
vfpc,713088,81.8
vfpc,715012,81.8
vfpc,716984,81.8
vfpc,737149,31.8
vfpc,770861,77.3
vfpc,772237,72.7
vfpc,803632,86.4
vfpc,831797,68.2
vfpc,838149,31.8
vfpc,864007,81.8
vfpc,874517,90.9
vfpc,904168,54.5
vfpc,918961,63.6
vfpc,921919,90.9
vfpc,934772,95.5
vfpc,935006,81.8
vfpc,935813,31.8
vfpc,936964,36.4
vfpc,951533,81.8
vfpc,972662,90.9
vfpc,984848,90.9
