fzkx,568625,87.0
fzkx,584763,71.0
fzkx,195689,68.0
fzkx,219113,89.0
fzkx,345597,65.0
fzkx,975707,73.0
fzkx,163236,86.0
fzkx,623430,79.0
fzkx,164459,89.0
fzkx,283284,67.0
fzkx,796322,83.0
fzkx,266774,50.0
fzkx,364332,72.0
fzkx,459222,60.0
fzkx,352356,86.0
fzkx,726975,90.0
fzkx,386275,72.0
fzkx,888435,78.0
fzkx,938573,49.0
fzkx,172394,74.0
fzkx,395837,66.0
fzkx,222049,75.0
fzkx,673433,71.0
fzkx,594259,89.0
fzkx,848407,93.0
fzkx,827691,82.0
fzkx,511857,87.0
fzkx,385936,78.0
fzkx,986325,85.0
fzkx,272629,86.0
fzkx,405104,61.0
fzkx,261643,72.0
fzkx,429699,17.0
fzkx,546842,91.0
fzkx,557016,59.0
fzkx,584298,95.0
fzkx,856905,90.0
fzkx,362397,83.0
fzkx,403690,87.0
fzkx,194271,70.0
fzkx,664566,84.0
fzkx,908156,70.0
fzkx,871482,80.0
fzkx,359668,57.0
fzkx,967295,89.0
fzkx,973545,91.0
fzkx,630294,98.0
fzkx,105944,66.0
fzkx,791628,86.0
fzkx,495481,72.0
fzkx,951914,40.0
fzkx,424826,82.0
fzkx,570359,80.0
